,Year,Comm. Code,Weight (kg),Quantity
9287,2022,293949,35.018,35.018
9289,2022,293959,4504.0,4504.0
9291,2022,293963,8.0,8.0
9293,2022,293969,2135.1,2135.1
9295,2022,293972,,
9297,2022,293979,4034.752,4034.752
9298,2022,293980,4194.103,4194.103
9301,2022,294000,7722039.761,7722039.761
9302,2022,294110,227516.758,227516.758
9304,2022,294120,0.03,0.03
9306,2022,294130,14711.114,14711.114
9309,2022,294150,11266.427,11266.427
9311,2022,294190,460881.332,460881.332
9313,2022,294200,1718624.036,1718624.036
8543,2021,290110,2205200350.645,2205200350.645
8545,2021,290121,2067814801.914,2067814801.914
8547,2021,290122,2494479903.0,2494479903.0
8549,2021,290123,61772884.322,61772884.322
8551,2021,290124,250382317.762,250382317.762
8553,2021,290129,115498225.37,115498225.37
8555,2021,290211,26075.932,26075.932
8557,2021,290219,19377366.715,19377366.715
8559,2021,290220,2960902082.675,2960902082.675
8561,2021,290230,206166438.345,206166438.345
8563,2021,290241,177994606.262,177994606.262
8565,2021,290242,54811886.79,54811886.79
8567,2021,290243,,
8569,2021,290244,116172.594,116172.594
8571,2021,290250,1691363572.131,1691363572.131
8573,2021,290260,9906986.31,9906986.31
8575,2021,290270,587729256.398,587729256.398
8577,2021,290290,33633680.934,33633680.934
8579,2021,290311,126812.0,126812.0
8581,2021,290312,141395.222,141395.222
8583,2021,290313,4982153.0,4982153.0
8586,2021,290315,80724721.864,80724721.864
8588,2021,290319,3092529.069,3092529.069
8590,2021,290321,968303320.0,968303320.0
8592,2021,290322,19736.0,19736.0
8594,2021,290323,81679290.61,81679290.61
8597,2021,290329,90160.802,90160.802
8598,2021,290339,4152379.022,4152379.022
8605,2021,290377,802.86,802.86
8607,2021,290378,8767.65,8767.65
8609,2021,290379,559046.616,559046.616
8611,2021,290389,7928843.498,7928843.498
8613,2021,290391,1491854.986,1491854.986
8615,2021,290399,20590889.308,20590889.308
8618,2021,290410,13785543.173,13785543.173
8619,2021,290420,5566700.23,5566700.23
8622,2021,290499,6459436.882,6459436.882
8624,2021,290511,,
8626,2021,290512,77482068.266,77482068.266
8628,2021,290513,130948890.822,130948890.822
8630,2021,290514,120584328.931,120584328.931
8632,2021,290516,240419529.507,240419529.507
8634,2021,290517,,
8636,2021,290519,203344477.574,203344477.574
8638,2021,290522,1926077.792,1926077.792
8640,2021,290529,236600359.122,236600359.122
8642,2021,290531,8426406340.134,8426406340.134
8644,2021,290532,69736034.897,69736034.897
8646,2021,290539,143041662.772,143041662.772
8648,2021,290541,1874882.0,1874882.0
8650,2021,290542,5543323.316,5543323.316
8652,2021,290543,1147460.964,1147460.964
8654,2021,290544,1743354.869,1743354.869
8656,2021,290545,494912028.065,494912028.065
8658,2021,290549,1319920.493,1319920.493
8660,2021,290559,989226.369,989226.369
8662,2021,290611,21541965.841,21541965.841
8665,2021,290612,35424.993,35424.993
8666,2021,290613,856126.802,856126.802
8668,2021,290619,3341961.761,3341961.761
8670,2021,290621,1887449.205,1887449.205
8672,2021,290629,3586890.981,3586890.981
8674,2021,290711,,
8677,2021,290712,5631270.927,5631270.927
8679,2021,290713,18223853.87,18223853.87
8680,2021,290715,27978.201,27978.201
8682,2021,290719,33519572.257,33519572.257
8684,2021,290721,3567351.86,3567351.86
8686,2021,290722,7476233.335,7476233.335
8688,2021,290723,496419178.324,496419178.324
8690,2021,290729,14264068.224,14264068.224
8692,2021,290819,85048994.781,85048994.781
8694,2021,290899,690230.301,690230.301
8696,2021,290911,648.0,648.0
8698,2021,290919,476711260.521,476711260.521
8700,2021,290920,384755.072,384755.072
8702,2021,290930,9477322.91,9477322.91
8704,2021,290941,,
8706,2021,290943,175715796.391,175715796.391
8708,2021,290944,30739476.142,30739476.142
8710,2021,290949,101224489.331,101224489.331
8712,2021,290950,7403862.767,7403862.767
8714,2021,290960,8850169.742,8850169.742
8718,2021,291020,433769284.337,433769284.337
8719,2021,291030,2270845.57,2270845.57
8721,2021,291090,10577681.502,10577681.502
8723,2021,291100,1318194.987,1318194.987
8725,2021,291211,,
8727,2021,291212,195.808,195.808
8729,2021,291219,32706202.285,32706202.285
8731,2021,291221,484883.079,484883.079
8733,2021,291229,6613436.25,6613436.25
8735,2021,291241,130423.477,130423.477
